00:02:36.159781 DCon12   Finished saving settings file "/home/alex/VirtualBox VMs/PC015/PC015.vbox"
00:02:36.167731 DCon16   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:02:38.250934 DCon03   Saving settings file "/home/alex/VirtualBox VMs/PC015/PC015.vbox" with version "1.19-linux"
00:02:38.323919 DCon03   Finished saving settings file "/home/alex/VirtualBox VMs/PC015/PC015.vbox"
00:02:38.331735 DCon11   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:03:10.281122 DCon17   Saving settings file "/home/alex/VirtualBox VMs/PC015/PC015.vbox" with version "1.19-linux"
00:03:10.289796 DCon17   Finished saving settings file "/home/alex/VirtualBox VMs/PC015/PC015.vbox"
00:03:10.298834 DCon09   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:03:15.631146 DCon14   Saving settings file "/home/alex/VirtualBox VMs/PC015/PC015.vbox" with version "1.19-linux"
00:03:15.700137 DCon14   Finished saving settings file "/home/alex/VirtualBox VMs/PC015/PC015.vbox"
00:03:15.707985 DCon11   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:03:57.526117 DCon23   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:03:57.532448 DCon24   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={83cfdc66-4f20-4569-ad39-8722f7d472b3} aComponent={RecordingSettingsWrap} aText={Recording not started}, preserve=false aResultDetail=0
00:03:59.181848 DCon19   Saving settings file "/home/alex/VirtualBox VMs/PC015/PC015.vbox" with version "1.19-linux"
00:03:59.206118 DCon19   Finished saving settings file "/home/alex/VirtualBox VMs/PC015/PC015.vbox"
00:03:59.214656 DCon24   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:03:59.252341 DCon11   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={83cfdc66-4f20-4569-ad39-8722f7d472b3} aComponent={RecordingSettingsWrap} aText={Recording not started}, preserve=false aResultDetail=0
00:03:59.253923 DCon11   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={SessionMachine} aText={The machine is not mutable or saved (state is Stopping)}, preserve=false aResultDetail=0
00:03:59.258760 DCon11   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:03:59.267139 DCon11   Saving settings file "/home/alex/VirtualBox VMs/PC015/PC015.vbox" with version "1.19-linux"
00:03:59.274449 DCon11   Finished saving settings file "/home/alex/VirtualBox VMs/PC015/PC015.vbox"
